2021-06-18 09:44:03,891 Kiwoom initializing...
2021-06-18 09:44:49,119 Kiwoom log in success
2021-06-18 09:44:49,120 Account information
2021-06-18 09:44:49,629 Deposit information (Futures)
2021-06-18 09:44:49,675 Portfolio information (Futures) (No item found)
2021-06-18 09:56:08,676 [93mALGORITHM STARTED [97m
2021-06-18 09:57:32,648 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:32,648 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:35,347 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:35,347 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:40,652 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:40,652 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:54,646 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:54,647 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:54,712 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:54,713 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:54,752 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:54,752 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:55,448 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:55,448 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:55,844 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.0
2021-06-18 09:57:55,845 Diff5: -0.01, DiffDifff5[-1]:0.01, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.0
2021-06-18 09:57:57,940 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.0
2021-06-18 09:57:57,940 Diff5: -0.01, DiffDifff5[-1]:0.01, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.0
2021-06-18 09:57:58,046 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.0
2021-06-18 09:57:58,046 Diff5: -0.01, DiffDifff5[-1]:0.01, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.0
2021-06-18 09:58:00,046 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,050 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,082 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,082 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,245 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,246 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,541 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,541 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,543 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,543 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,545 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,545 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,648 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,649 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:00,650 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.01
2021-06-18 09:58:00,651 Diff5: -0.02, DiffDifff5[-1]:-0.01, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.01
2021-06-18 09:58:01,453 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.005
2021-06-18 09:58:01,461 Diff5: -0.01, DiffDifff5[-1]:0.0, Diff10[-1]:-0.035, DiffDiff10[-1]: -0.005
2021-06-18 09:58:01,557 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.005
2021-06-18 09:58:01,558 Diff5: -0.01, DiffDifff5[-1]:0.0, Diff10[-1]:-0.035, DiffDiff10[-1]: -0.005
2021-06-18 09:58:01,647 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.005
2021-06-18 09:58:01,648 Diff5: -0.01, DiffDifff5[-1]:0.0, Diff10[-1]:-0.035, DiffDiff10[-1]: -0.005
2021-06-18 09:58:05,248 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.005
2021-06-18 09:58:05,248 Diff5: -0.01, DiffDifff5[-1]:0.0, Diff10[-1]:-0.035, DiffDiff10[-1]: -0.005
2021-06-18 09:58:11,042 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.0
2021-06-18 09:58:11,043 Diff5: 0.0, DiffDifff5[-1]:0.01, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.0
2021-06-18 09:58:12,146 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.0
2021-06-18 09:58:12,146 Diff5: 0.0, DiffDifff5[-1]:0.01, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.0
2021-06-18 09:58:14,538 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.005
2021-06-18 09:58:14,553 Diff5: -0.01, DiffDifff5[-1]:0.0, Diff10[-1]:-0.035, DiffDiff10[-1]: -0.005
2021-06-18 09:58:24,142 Diff5: -0.01, DiffDifff5[-2]:0.01, Diff10[-2]:-0.03, DiffDiff10[-2]: -0.005
2021-06-18 09:58:24,142 Diff5: -0.01, DiffDifff5[-1]:0.0, Diff10[-1]:-0.035, DiffDiff10[-1]: -0.005
